country,study_type,phase,study_count,mean_sites,median_sites,p90_sites,absolute_max_sites
Iceland,INTERVENTIONAL,PHASE2,21,1,1,1,1
Iceland,INTERVENTIONAL,PHASE2/PHASE3,3,1,1,1,1
Iceland,INTERVENTIONAL,PHASE3,79,1.22,1,2,3
Iceland,INTERVENTIONAL,PHASE4,18,1.06,1,1,2
Iceland,OBSERVATIONAL,NA,45,1.04,1,1,2
India,EXPANDED_ACCESS,NA,9,2.89,2,5.4,7
India,INTERVENTIONAL,EARLY_PHASE1,12,1.08,1,1,2
India,INTERVENTIONAL,NA,1771,1.64,1,2,63
India,INTERVENTIONAL,PHASE1,390,1.72,1,2,24
India,INTERVENTIONAL,PHASE1/PHASE2,110,2.66,1,6.1,26
India,INTERVENTIONAL,PHASE2,591,5.06,4,11,28
India,INTERVENTIONAL,PHASE2/PHASE3,183,3.79,1,10,30
India,INTERVENTIONAL,PHASE3,1807,8.01,6,17,76
India,INTERVENTIONAL,PHASE4,500,4.66,1,13,63
India,OBSERVATIONAL,NA,983,3.5,1,6,247
Indonesia,EXPANDED_ACCESS,NA,2,1,1,1,1
Indonesia,INTERVENTIONAL,EARLY_PHASE1,21,1.19,1,2,3
Indonesia,INTERVENTIONAL,NA,692,1.2,1,2,8
Indonesia,INTERVENTIONAL,PHASE1,48,1.54,1,2.3,10
Indonesia,INTERVENTIONAL,PHASE1/PHASE2,46,1.09,1,1,3
Indonesia,INTERVENTIONAL,PHASE2,101,1.58,1,3,7
Indonesia,INTERVENTIONAL,PHASE2/PHASE3,62,2.15,1,3,28
Indonesia,INTERVENTIONAL,PHASE3,187,2.57,1,5,22
Indonesia,INTERVENTIONAL,PHASE4,119,1.64,1,3,12
Indonesia,OBSERVATIONAL,NA,275,1.99,1,3,28
Iran,EXPANDED_ACCESS,NA,1,1,1,1,1
Iran,INTERVENTIONAL,EARLY_PHASE1,19,1.05,1,1,2
Iran,INTERVENTIONAL,NA,474,1.13,1,1,15
Iran,INTERVENTIONAL,PHASE1,87,1.06,1,1,2
Iran,INTERVENTIONAL,PHASE1/PHASE2,91,1.11,1,1,3
Iran,INTERVENTIONAL,PHASE2,191,1.13,1,1,13
Iran,INTERVENTIONAL,PHASE2/PHASE3,118,1.03,1,1,2
Iran,INTERVENTIONAL,PHASE3,189,1.88,1,2,44
Iran,INTERVENTIONAL,PHASE4,125,1.17,1,1,7
Iran,OBSERVATIONAL,NA,137,1.77,1,2.4,16
Iraq,EXPANDED_ACCESS,NA,2,1,1,1,1
Iraq,INTERVENTIONAL,EARLY_PHASE1,11,1,1,1,1
Iraq,INTERVENTIONAL,NA,238,1.09,1,1,4
Iraq,INTERVENTIONAL,PHASE1,13,1.15,1,1,3
Iraq,INTERVENTIONAL,PHASE1/PHASE2,11,1,1,1,1
Iraq,INTERVENTIONAL,PHASE2,28,1,1,1,1
Iraq,INTERVENTIONAL,PHASE2/PHASE3,5,1,1,1,1
Iraq,INTERVENTIONAL,PHASE3,17,1,1,1,1
Iraq,INTERVENTIONAL,PHASE4,18,1.06,1,1,2
Iraq,OBSERVATIONAL,NA,85,1.2,1,1,7
Ireland,EXPANDED_ACCESS,NA,9,1.89,1,2.8,6
Ireland,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Ireland,INTERVENTIONAL,NA,695,1.26,1,2,14
Ireland,INTERVENTIONAL,PHASE1,47,1.34,1,2.4,3
Ireland,INTERVENTIONAL,PHASE1/PHASE2,44,1.77,1,3,10
Ireland,INTERVENTIONAL,PHASE2,293,2.19,1,5,14
Ireland,INTERVENTIONAL,PHASE2/PHASE3,36,1.72,1,3,8
Ireland,INTERVENTIONAL,PHASE3,881,2.68,2,6,15
Ireland,INTERVENTIONAL,PHASE4,132,1.9,1,3,24
Ireland,OBSERVATIONAL,NA,456,1.89,1,4,14
Israel,EXPANDED_ACCESS,NA,18,2.83,2.5,5,7
Israel,INTERVENTIONAL,EARLY_PHASE1,44,1.09,1,1,4
Israel,INTERVENTIONAL,NA,2828,1.25,1,2,22
Israel,INTERVENTIONAL,PHASE1,413,1.9,1,4,7
Israel,INTERVENTIONAL,PHASE1/PHASE2,400,2.16,1,5,11
Israel,INTERVENTIONAL,PHASE2,1243,3.14,2,7,17
Israel,INTERVENTIONAL,PHASE2/PHASE3,225,2.94,2,6,14
Israel,INTERVENTIONAL,PHASE3,2509,4.56,4,9,32
Israel,INTERVENTIONAL,PHASE4,516,2.04,1,4,26
Israel,OBSERVATIONAL,NA,2244,1.45,1,2,23
Italy,EXPANDED_ACCESS,NA,30,8.37,3,17.9,65
Italy,INTERVENTIONAL,EARLY_PHASE1,31,1.19,1,2,2
Italy,INTERVENTIONAL,NA,5750,1.74,1,3,75
Italy,INTERVENTIONAL,NA,1,1,1,1,1
Italy,INTERVENTIONAL,PHASE1,598,2.41,2,5,11
Italy,INTERVENTIONAL,PHASE1/PHASE2,644,3.2,2,6,32
Italy,INTERVENTIONAL,PHASE2,3508,4.91,3,10,66
Italy,INTERVENTIONAL,PHASE2/PHASE3,406,4.67,3,11,38
Italy,INTERVENTIONAL,PHASE3,5341,7.49,5,15,336
Italy,INTERVENTIONAL,PHASE4,1350,4.19,1,10,101
Italy,OBSERVATIONAL,NA,7230,3.5,1,7,203
Jamaica,INTERVENTIONAL,EARLY_PHASE1,4,1,1,1,1
Jamaica,INTERVENTIONAL,NA,23,1.09,1,1,2
Jamaica,INTERVENTIONAL,PHASE1,3,1,1,1,1
Jamaica,INTERVENTIONAL,PHASE1/PHASE2,2,1,1,1,1
Jamaica,INTERVENTIONAL,PHASE2,13,1.46,1,1,7
Jamaica,INTERVENTIONAL,PHASE3,11,1.18,1,1,3
Jamaica,INTERVENTIONAL,PHASE4,3,1,1,1,1
Jamaica,OBSERVATIONAL,NA,18,1.28,1,1.6,4
Japan,EXPANDED_ACCESS,NA,13,9,4,7.6,73
Japan,INTERVENTIONAL,EARLY_PHASE1,8,2.13,1,3.9,6
Japan,INTERVENTIONAL,NA,582,5.26,1,10,317
Japan,INTERVENTIONAL,PHASE1,1291,2.57,1,5,44
Japan,INTERVENTIONAL,PHASE1/PHASE2,365,4.97,3,12,45
Japan,INTERVENTIONAL,PHASE2,1560,9.69,7,22,90
Japan,INTERVENTIONAL,PHASE2/PHASE3,243,13.43,7,32.6,98
Japan,INTERVENTIONAL,PHASE3,3402,16.48,12,37,272
Japan,INTERVENTIONAL,PHASE4,394,6.98,1,20,160
Japan,OBSERVATIONAL,NA,1135,19.9,1,39,1723
Jersey,INTERVENTIONAL,NA,4,1,1,1,1
Jordan,EXPANDED_ACCESS,NA,2,1,1,1,1
Jordan,INTERVENTIONAL,EARLY_PHASE1,4,1,1,1,1
Jordan,INTERVENTIONAL,NA,250,1.1,1,1,4
Jordan,INTERVENTIONAL,PHASE1,57,1.04,1,1,3
Jordan,INTERVENTIONAL,PHASE1/PHASE2,24,1.17,1,1.7,3
Jordan,INTERVENTIONAL,PHASE2,36,1.67,1,4,6
Jordan,INTERVENTIONAL,PHASE2/PHASE3,9,1.78,1,4.2,5
Jordan,INTERVENTIONAL,PHASE3,70,1.87,1,4,7
Jordan,INTERVENTIONAL,PHASE4,19,1.26,1,2.2,3
Jordan,OBSERVATIONAL,NA,138,1.34,1,2,8
Kazakhstan,INTERVENTIONAL,EARLY_PHASE1,1,2,2,2,2
Kazakhstan,INTERVENTIONAL,NA,63,1.29,1,2,5
Kazakhstan,INTERVENTIONAL,PHASE1,11,1,1,1,1
Kazakhstan,INTERVENTIONAL,PHASE1/PHASE2,6,1,1,1,1
Kazakhstan,INTERVENTIONAL,PHASE2,7,1.86,1,3.4,7
Kazakhstan,INTERVENTIONAL,PHASE3,38,2,1,4,7
Kazakhstan,INTERVENTIONAL,PHASE4,19,1.58,1,2.2,6
Kazakhstan,OBSERVATIONAL,NA,106,2.42,1,5.5,17
Kenya,INTERVENTIONAL,EARLY_PHASE1,4,1,1,1,1
Kenya,INTERVENTIONAL,NA,368,1.99,1,2.3,25
Kenya,INTERVENTIONAL,PHASE1,40,1.15,1,2,2
Kenya,INTERVENTIONAL,PHASE1/PHASE2,26,1.42,1,2.5,4
Kenya,INTERVENTIONAL,PHASE2,82,1.3,1,2,4
Kenya,INTERVENTIONAL,PHASE2/PHASE3,16,1.75,1,3.5,7
Kenya,INTERVENTIONAL,PHASE3,125,2.27,1,4.6,10
Kenya,INTERVENTIONAL,PHASE4,57,2.12,1,3,20
Kenya,OBSERVATIONAL,NA,131,1.59,1,3,9
Kiribati,INTERVENTIONAL,NA,1,1,1,1,1
Kosovo,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Kosovo,INTERVENTIONAL,NA,21,1,1,1,1
Kosovo,INTERVENTIONAL,PHASE3,1,1,1,1,1
Kosovo,INTERVENTIONAL,PHASE4,2,1.5,1.5,1.9,2
Kosovo,OBSERVATIONAL,NA,5,1,1,1,1
Kuwait,EXPANDED_ACCESS,NA,2,1,1,1,1
Kuwait,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Kuwait,INTERVENTIONAL,NA,55,1.04,1,1,2
Kuwait,INTERVENTIONAL,PHASE1,2,1,1,1,1
Kuwait,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
Kuwait,INTERVENTIONAL,PHASE2,3,1,1,1,1
Kuwait,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Kuwait,INTERVENTIONAL,PHASE3,18,1.06,1,1,2
Kuwait,INTERVENTIONAL,PHASE4,27,1.15,1,1,4
Kuwait,OBSERVATIONAL,NA,93,1.46,1,2.8,8
Kyrgyzstan,INTERVENTIONAL,EARLY_PHASE1,2,1,1,1,1
Kyrgyzstan,INTERVENTIONAL,NA,19,1.11,1,1.2,2
Kyrgyzstan,INTERVENTIONAL,PHASE2,2,1,1,1,1
Kyrgyzstan,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Kyrgyzstan,INTERVENTIONAL,PHASE3,4,1,1,1,1
Kyrgyzstan,INTERVENTIONAL,PHASE4,24,1,1,1,1
Kyrgyzstan,OBSERVATIONAL,NA,16,1,1,1,1
Laos,INTERVENTIONAL,NA,10,1,1,1,1
Laos,INTERVENTIONAL,PHASE1/PHASE2,2,1,1,1,1
Laos,INTERVENTIONAL,PHASE2,8,1.75,1,2.9,5
Laos,INTERVENTIONAL,PHASE2/PHASE3,4,1.25,1,1.7,2
Laos,INTERVENTIONAL,PHASE3,4,2.75,1,5.9,8
Laos,INTERVENTIONAL,PHASE4,4,1,1,1,1
Laos,OBSERVATIONAL,NA,17,1.06,1,1,2
Latvia,EXPANDED_ACCESS,NA,3,2.67,2,3.6,4
Latvia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Latvia,INTERVENTIONAL,NA,88,1.26,1,2,11
Latvia,INTERVENTIONAL,PHASE1,13,1.46,1,2.8,3
Latvia,INTERVENTIONAL,PHASE1/PHASE2,9,1.89,2,3.2,4
Latvia,INTERVENTIONAL,PHASE2,219,2.83,3,5,9
Latvia,INTERVENTIONAL,PHASE2/PHASE3,26,2.27,2,4,7
Latvia,INTERVENTIONAL,PHASE3,632,3.19,3,6,19
Latvia,INTERVENTIONAL,PHASE4,59,2.85,2,7,13
Latvia,OBSERVATIONAL,NA,89,2.73,1,4.2,42
Lebanon,EXPANDED_ACCESS,NA,4,3,1,6.6,9
Lebanon,INTERVENTIONAL,EARLY_PHASE1,5,1,1,1,1
Lebanon,INTERVENTIONAL,NA,209,1.06,1,1,4
Lebanon,INTERVENTIONAL,PHASE1,20,1.3,1,2,2
Lebanon,INTERVENTIONAL,PHASE1/PHASE2,5,1,1,1,1
Lebanon,INTERVENTIONAL,PHASE2,87,1.84,1,3,13
Lebanon,INTERVENTIONAL,PHASE2/PHASE3,15,1.8,1,3.2,8
Lebanon,INTERVENTIONAL,PHASE3,191,2.04,2,4,7
Lebanon,INTERVENTIONAL,PHASE4,90,1.43,1,2,7
Lebanon,OBSERVATIONAL,NA,137,2.12,1,4.4,29
Lesotho,INTERVENTIONAL,NA,20,5.35,2,12.6,20
Lesotho,INTERVENTIONAL,PHASE3,4,1.25,1,1.7,2
Lesotho,INTERVENTIONAL,PHASE4,1,2,2,2,2
Lesotho,OBSERVATIONAL,NA,16,1.63,1,2.5,4
Liberia,INTERVENTIONAL,NA,10,1.1,1,1.1,2
Liberia,INTERVENTIONAL,PHASE1,1,1,1,1,1
Liberia,INTERVENTIONAL,PHASE1/PHASE2,1,2,2,2,2
Liberia,INTERVENTIONAL,PHASE2,5,1,1,1,1
Liberia,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Liberia,INTERVENTIONAL,PHASE3,2,1,1,1,1
Liberia,INTERVENTIONAL,PHASE4,1,2,2,2,2
Liberia,OBSERVATIONAL,NA,14,1.86,1,4,4
Libya,INTERVENTIONAL,NA,2,2,2,2.8,3
Libya,INTERVENTIONAL,PHASE3,2,1,1,1,1
Libya,INTERVENTIONAL,PHASE4,1,1,1,1,1
Libya,OBSERVATIONAL,NA,9,1.22,1,2,2
Liechtenstein,INTERVENTIONAL,NA,9,1,1,1,1
Liechtenstein,OBSERVATIONAL,NA,1,1,1,1,1
Lithuania,EXPANDED_ACCESS,NA,4,2,1.5,3.4,4
Lithuania,INTERVENTIONAL,NA,221,1.2,1,2,8
Lithuania,INTERVENTIONAL,NA,1,1,1,1,1
Lithuania,INTERVENTIONAL,PHASE1,20,1.55,1,2.1,3
Lithuania,INTERVENTIONAL,PHASE1/PHASE2,11,1.91,2,3,5
Lithuania,INTERVENTIONAL,PHASE2,198,2.31,2,4,10
Lithuania,INTERVENTIONAL,PHASE2/PHASE3,33,2.39,2,4,7
Lithuania,INTERVENTIONAL,PHASE3,739,3.14,3,6,17
Lithuania,INTERVENTIONAL,PHASE4,51,3.76,3,6,14
Lithuania,OBSERVATIONAL,NA,155,1.33,1,2,5
Luxembourg,EXPANDED_ACCESS,NA,4,1,1,1,1
Luxembourg,INTERVENTIONAL,NA,46,1.11,1,1.5,2
Luxembourg,INTERVENTIONAL,PHASE1/PHASE2,7,1,1,1,1
Luxembourg,INTERVENTIONAL,PHASE2,16,1.06,1,1,2
Luxembourg,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Luxembourg,INTERVENTIONAL,PHASE3,26,1.27,1,2,4
Luxembourg,INTERVENTIONAL,PHASE4,7,1.14,1,1.4,2
Luxembourg,OBSERVATIONAL,NA,62,1.45,1,2,19
Macau,INTERVENTIONAL,NA,14,1.57,2,2,2
Macau,OBSERVATIONAL,NA,2,1,1,1,1
Madagascar,INTERVENTIONAL,NA,11,3.09,1,3,22
Madagascar,INTERVENTIONAL,PHASE1,1,1,1,1,1
Madagascar,INTERVENTIONAL,PHASE2,1,1,1,1,1
Madagascar,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Madagascar,INTERVENTIONAL,PHASE3,9,1.56,1,3,3
Madagascar,OBSERVATIONAL,NA,14,1.79,1,1,12
Malawi,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Malawi,INTERVENTIONAL,NA,145,2.17,1,3,33
Malawi,INTERVENTIONAL,NA,1,1,1,1,1
Malawi,INTERVENTIONAL,PHASE1,5,1.4,1,2,2
Malawi,INTERVENTIONAL,PHASE1/PHASE2,13,1.23,1,2,2
Malawi,INTERVENTIONAL,PHASE2,32,1.16,1,2,2
Malawi,INTERVENTIONAL,PHASE2/PHASE3,6,1.17,1,1.5,2
Malawi,INTERVENTIONAL,PHASE3,58,1.36,1,2,4
Malawi,INTERVENTIONAL,PHASE4,26,1.46,1,2,3
Malawi,OBSERVATIONAL,NA,86,1.31,1,2,7
Malaysia,EXPANDED_ACCESS,NA,9,4.22,3,6.8,14
Malaysia,INTERVENTIONAL,EARLY_PHASE1,9,1.33,1,1.6,4
Malaysia,INTERVENTIONAL,NA,705,1.32,1,2,17
Malaysia,INTERVENTIONAL,PHASE1,53,1.49,1,2,6
Malaysia,INTERVENTIONAL,PHASE1/PHASE2,29,2.34,2,4.2,6
Malaysia,INTERVENTIONAL,PHASE2,243,2.95,2,5.8,11
Malaysia,INTERVENTIONAL,PHASE2/PHASE3,73,2.85,2,7,10
Malaysia,INTERVENTIONAL,PHASE3,909,3.96,3,8,32
Malaysia,INTERVENTIONAL,PHASE4,166,3.08,1,6,78
Malaysia,OBSERVATIONAL,NA,274,2.14,1,5,19
Maldives,OBSERVATIONAL,NA,1,1,1,1,1
Mali,INTERVENTIONAL,NA,36,1.44,1,2.5,6
Mali,INTERVENTIONAL,PHASE1,26,1.08,1,1,3
Mali,INTERVENTIONAL,PHASE1/PHASE2,6,1.17,1,1.5,2
Mali,INTERVENTIONAL,PHASE2,35,1.29,1,2,3
Mali,INTERVENTIONAL,PHASE2/PHASE3,6,2.83,1,6.5,11
Mali,INTERVENTIONAL,PHASE3,21,1.05,1,1,2
Mali,INTERVENTIONAL,PHASE4,14,1,1,1,1
Mali,OBSERVATIONAL,NA,62,1.26,1,2,6
Malta,EXPANDED_ACCESS,NA,2,1,1,1,1
Malta,INTERVENTIONAL,NA,11,1.18,1,1,3
Malta,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Malta,INTERVENTIONAL,PHASE2,4,1,1,1,1
Malta,INTERVENTIONAL,PHASE2/PHASE3,1,2,2,2,2
Malta,INTERVENTIONAL,PHASE3,13,1.38,1,2,3
Malta,OBSERVATIONAL,NA,25,1.08,1,1,2
Martinique,INTERVENTIONAL,NA,30,1.03,1,1,2
Martinique,INTERVENTIONAL,PHASE2,7,1,1,1,1
Martinique,INTERVENTIONAL,PHASE3,9,1.11,1,1.2,2
Martinique,INTERVENTIONAL,PHASE4,4,1,1,1,1
Martinique,OBSERVATIONAL,NA,68,1.19,1,1.3,7
Mauritania,INTERVENTIONAL,NA,1,1,1,1,1
Mauritania,OBSERVATIONAL,NA,1,1,1,1,1
Mauritius,INTERVENTIONAL,NA,12,1.33,1,1,5
Mauritius,INTERVENTIONAL,PHASE1,4,1,1,1,1
Mauritius,INTERVENTIONAL,PHASE2,14,1,1,1,1
Mauritius,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Mauritius,INTERVENTIONAL,PHASE3,9,1.22,1,2,2
Mauritius,OBSERVATIONAL,NA,13,1,1,1,1
Mayotte,INTERVENTIONAL,NA,2,1,1,1,1
Mayotte,INTERVENTIONAL,PHASE4,1,1,1,1,1
Mayotte,OBSERVATIONAL,NA,5,1,1,1,1
Mexico,EXPANDED_ACCESS,NA,14,4.71,3.5,9.7,13
Mexico,INTERVENTIONAL,EARLY_PHASE1,18,1,1,1,1
Mexico,INTERVENTIONAL,NA,883,1.21,1,2,9
Mexico,INTERVENTIONAL,NA,2,1,1,1,1
Mexico,INTERVENTIONAL,PHASE1,159,1.44,1,3,8
Mexico,INTERVENTIONAL,PHASE1/PHASE2,66,2.09,1,4,9
Mexico,INTERVENTIONAL,PHASE2,812,3.45,3,7,18
Mexico,INTERVENTIONAL,PHASE2/PHASE3,154,3.38,2,8,16
Mexico,INTERVENTIONAL,PHASE3,2480,4.78,4,10,50
Mexico,INTERVENTIONAL,PHASE4,410,2.98,1,7,35
Mexico,OBSERVATIONAL,NA,579,2.16,1,5,31
Micronesia,INTERVENTIONAL,PHASE2,1,1,1,1,1
Moldova,INTERVENTIONAL,NA,18,1.11,1,1.3,2
Moldova,INTERVENTIONAL,PHASE1,99,1,1,1,1
Moldova,INTERVENTIONAL,PHASE1/PHASE2,28,1.11,1,1,3
Moldova,INTERVENTIONAL,PHASE2,97,1.28,1,2,5
Moldova,INTERVENTIONAL,PHASE2/PHASE3,7,1.57,1,3,3
Moldova,INTERVENTIONAL,PHASE3,82,2,1,4,7
Moldova,INTERVENTIONAL,PHASE4,5,2.6,3,3.6,4
Moldova,OBSERVATIONAL,NA,27,1.04,1,1,2
Monaco,INTERVENTIONAL,NA,33,1,1,1,1
Monaco,INTERVENTIONAL,PHASE1,1,1,1,1,1
Monaco,INTERVENTIONAL,PHASE2,4,1,1,1,1
Monaco,INTERVENTIONAL,PHASE3,16,1,1,1,1
Monaco,INTERVENTIONAL,PHASE4,7,1,1,1,1
Monaco,OBSERVATIONAL,NA,37,1,1,1,1
Mongolia,INTERVENTIONAL,NA,10,1,1,1,1
Mongolia,INTERVENTIONAL,PHASE1,3,1,1,1,1
Mongolia,INTERVENTIONAL,PHASE1/PHASE2,3,1.67,2,2,2
Mongolia,INTERVENTIONAL,PHASE2,10,1.1,1,1.1,2
Mongolia,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Mongolia,INTERVENTIONAL,PHASE3,10,1.1,1,1.1,2
Mongolia,INTERVENTIONAL,PHASE4,1,1,1,1,1
Mongolia,OBSERVATIONAL,NA,5,1.6,1,2.8,4
Montenegro,INTERVENTIONAL,NA,2,1,1,1,1
Montenegro,INTERVENTIONAL,PHASE2,1,1,1,1,1
Montenegro,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Montenegro,INTERVENTIONAL,PHASE3,15,1.13,1,1.6,2
Montenegro,INTERVENTIONAL,PHASE4,1,4,4,4,4
Montenegro,OBSERVATIONAL,NA,7,1,1,1,1
Montserrat,INTERVENTIONAL,PHASE3,1,1,1,1,1
Morocco,INTERVENTIONAL,NA,25,1.16,1,1.6,3
Morocco,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Morocco,INTERVENTIONAL,PHASE2,10,1.8,1,3.2,5
Morocco,INTERVENTIONAL,PHASE2/PHASE3,2,1.5,1.5,1.9,2
Morocco,INTERVENTIONAL,PHASE3,47,2.32,2,4,12
Morocco,INTERVENTIONAL,PHASE4,16,2.13,1,4.5,7
Morocco,OBSERVATIONAL,NA,68,2.03,1,4.3,12
Mozambique,INTERVENTIONAL,NA,64,2.83,1,7.7,21
Mozambique,INTERVENTIONAL,PHASE1,2,1,1,1,1
Mozambique,INTERVENTIONAL,PHASE1/PHASE2,4,1.25,1,1.7,2
Mozambique,INTERVENTIONAL,PHASE2,18,1.06,1,1,2
Mozambique,INTERVENTIONAL,PHASE2/PHASE3,6,1.5,1,2.5,3
Mozambique,INTERVENTIONAL,PHASE3,16,1.19,1,1.5,3
Mozambique,INTERVENTIONAL,PHASE4,13,2.08,1,5,6
Mozambique,OBSERVATIONAL,NA,36,1.25,1,2,3
NA,INTERVENTIONAL,NA,2,1.5,1.5,1.9,2
NA,INTERVENTIONAL,PHASE1,4,1,1,1,1
NA,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
NA,INTERVENTIONAL,PHASE2,12,1,1,1,1
NA,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
NA,INTERVENTIONAL,PHASE3,43,1.56,1,1,15
NA,INTERVENTIONAL,PHASE4,19,1,1,1,1
NA,OBSERVATIONAL,NA,3,1.33,1,1.8,2
Namibia,INTERVENTIONAL,NA,2,1,1,1,1
Namibia,INTERVENTIONAL,PHASE3,1,1,1,1,1
Namibia,INTERVENTIONAL,PHASE4,1,1,1,1,1
Namibia,OBSERVATIONAL,NA,4,1,1,1,1
Nepal,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Nepal,INTERVENTIONAL,NA,193,1.91,1,1,119
Nepal,INTERVENTIONAL,PHASE1,1,1,1,1,1
Nepal,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Nepal,INTERVENTIONAL,PHASE2,9,1.89,1,3.4,5
Nepal,INTERVENTIONAL,PHASE2/PHASE3,9,1,1,1,1
Nepal,INTERVENTIONAL,PHASE3,36,2,1,4,9
Nepal,INTERVENTIONAL,PHASE4,42,1.76,1,3,10
Nepal,OBSERVATIONAL,NA,108,1.19,1,1,6
Netherlands,EXPANDED_ACCESS,NA,17,3.41,3,6.6,12
Netherlands,INTERVENTIONAL,EARLY_PHASE1,44,1.16,1,1.7,3
Netherlands,INTERVENTIONAL,NA,3678,2.02,1,4,90
Netherlands,INTERVENTIONAL,PHASE1,1135,1.37,1,2,8
Netherlands,INTERVENTIONAL,PHASE1/PHASE2,501,1.81,1,3,13
Netherlands,INTERVENTIONAL,PHASE2,1994,2.49,1,5,52
Netherlands,INTERVENTIONAL,PHASE2/PHASE3,300,2.4,1,5,19
Netherlands,INTERVENTIONAL,PHASE3,3256,4.37,3,9,84
Netherlands,INTERVENTIONAL,PHASE4,838,3.29,1,7,159
Netherlands,OBSERVATIONAL,NA,2944,2.47,1,4,222
Netherlands Antilles,INTERVENTIONAL,NA,1,1,1,1,1
Netherlands Antilles,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Netherlands Antilles,INTERVENTIONAL,PHASE3,1,1,1,1,1
New Caledonia,INTERVENTIONAL,NA,9,1.67,1,3.4,5
New Caledonia,INTERVENTIONAL,PHASE2,1,1,1,1,1
New Caledonia,OBSERVATIONAL,NA,3,1,1,1,1
New Zealand,EXPANDED_ACCESS,NA,6,2.5,2.5,4,5
New Zealand,INTERVENTIONAL,EARLY_PHASE1,5,1.2,1,1.6,2
New Zealand,INTERVENTIONAL,NA,369,1.67,1,3,15
New Zealand,INTERVENTIONAL,PHASE1,336,1.53,1,2,8
New Zealand,INTERVENTIONAL,PHASE1/PHASE2,93,1.7,1,3,8
New Zealand,INTERVENTIONAL,PHASE2,509,2.22,2,4,11
New Zealand,INTERVENTIONAL,PHASE2/PHASE3,71,1.85,1,4,6
New Zealand,INTERVENTIONAL,PHASE3,1131,3.11,2,6,22
New Zealand,INTERVENTIONAL,PHASE4,84,2.64,2,6,13
New Zealand,OBSERVATIONAL,NA,152,1.62,1,3,9
Nicaragua,INTERVENTIONAL,EARLY_PHASE1,1,2,2,2,2
Nicaragua,INTERVENTIONAL,NA,3,1.33,1,1.8,2
Nicaragua,INTERVENTIONAL,PHASE1,1,2,2,2,2
Nicaragua,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
Nicaragua,INTERVENTIONAL,PHASE2,1,1,1,1,1
Nicaragua,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Nicaragua,INTERVENTIONAL,PHASE3,5,1,1,1,1
Nicaragua,INTERVENTIONAL,PHASE4,1,1,1,1,1
Nicaragua,OBSERVATIONAL,NA,6,1,1,1,1
Niger,INTERVENTIONAL,NA,13,1.31,1,1.8,4
Niger,INTERVENTIONAL,PHASE3,5,1,1,1,1
Niger,INTERVENTIONAL,PHASE4,15,1,1,1,1
Niger,OBSERVATIONAL,NA,11,1,1,1,1
Nigeria,INTERVENTIONAL,EARLY_PHASE1,4,1.25,1,1.7,2
Nigeria,INTERVENTIONAL,NA,207,2.06,1,2,60
Nigeria,INTERVENTIONAL,PHASE1,12,1.25,1,1.9,3
Nigeria,INTERVENTIONAL,PHASE1/PHASE2,9,1.11,1,1.2,2
Nigeria,INTERVENTIONAL,PHASE2,30,2,1,4,8
Nigeria,INTERVENTIONAL,PHASE2/PHASE3,8,2.5,3,3.6,5
Nigeria,INTERVENTIONAL,PHASE3,48,3.71,2,8.3,16
Nigeria,INTERVENTIONAL,PHASE4,34,1.59,1,2.7,8
Nigeria,OBSERVATIONAL,NA,83,2.01,1,4,13
Niue,INTERVENTIONAL,NA,4,1,1,1,1
North Korea,INTERVENTIONAL,PHASE1,1,1,1,1,1
North Macedonia,INTERVENTIONAL,NA,27,1,1,1,1
North Macedonia,INTERVENTIONAL,PHASE1,5,1,1,1,1
North Macedonia,INTERVENTIONAL,PHASE1/PHASE2,6,1.17,1,1.5,2
North Macedonia,INTERVENTIONAL,PHASE2,26,1.54,1,2.5,5
North Macedonia,INTERVENTIONAL,PHASE2/PHASE3,5,1.8,1,3.2,4
North Macedonia,INTERVENTIONAL,PHASE3,99,1.87,1,4,8
North Macedonia,INTERVENTIONAL,PHASE4,8,2,1,3.8,8
